number_of_orders,no_of_products,total_sales,gmv,avg_daily_sales,aprox_exist_inventory,is_rental,shop_size,business_age(year),electricity_bill,rent_amount,shop_type,using_pos,credit_score
51 to 100,101 to 200,"255,015",200001 to 500000,6001 to 9000,Less than 100k,Rented,Less than 136,4 to 8,Less than 2000,15001 to 20000,General Store,No,3.2
1 to 50,201 to 300,"205,921",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,4 to 8,2000 - 5000,0,PanShop / Juice Corner / Canteen,No,4.3
51 to 100,1 to 50,"83,630",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,5001 to 10000,Kiryana,No,3.2
1 to 50,101 to 200,"870,416",500001 to 1000000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,5.3
51 to 100,301 to 400,"680,168",500001 to 1000000,6001 to 9000,Less than 100k,Rented,272 - 408,4 to 8,2000 - 5000,15001 to 20000,General Store,No,4.1
1 to 50,101 to 200,"533,898",200001 to 500000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4.6
1 to 50,101 to 200,"284,448",200001 to 500000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,1 to 5000,Kiryana,No,3.6
1 to 50,1 to 50,"183,725",1 to 200000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,Less than 2000,0,Super Store,No,4.5
101 to 200,101 to 200,"1,161,198",1000001 to 2000000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,6.1
1 to 50,51 to 100,"167,076",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,2000 - 5000,0,Super Store,No,3.8
1 to 50,501 to 1000,"415,272",200001 to 500000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,3.5
1 to 50,1 to 50,"13,161",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,2000 - 5000,25000+,Super Store,No,2.6
1 to 50,1 to 50,"21,085",1 to 200000,3001 to 6000,Less than 100k,Owned,272 - 408,4 to 8,2000 - 5000,0,Kiryana,No,3.5
1 to 50,1 to 50,"24,228",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,10001 to 15000,General Store,No,3
1 to 50,301 to 400,"1,660,463",1000001 to 2000000,9001 to 12000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,10001 to 15000,General Store,No,5
1 to 50,1 to 50,"27,251",1 to 200000,9001 to 12000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,5001 to 10000,General Store,No,3.6
51 to 100,101 to 200,"451,649",200001 to 500000,6001 to 9000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,4.7
1 to 50,101 to 200,"154,452",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,5001 to 10000,General Store,No,3.3
1 to 50,51 to 100,"271,782",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Super Store,No,4.1
101 to 200,1 to 50,"35,233",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,4.1
1 to 50,51 to 100,"94,069",1 to 200000,3001 to 6000,100k - 300k ,Rented,Less than 136,4 to 8,2000 - 5000,20000 to 25000,General Store,No,2
1 to 50,1 to 50,"80,710",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,2000 - 5000,0,Wholesale,No,3.8
1 to 50,101 to 200,"330,713",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,4.3
1 to 50,101 to 200,"1,161,175",1000001 to 2000000,20000+,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,6
51 to 100,51 to 100,"319,624",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.5
1 to 50,501 to 1000,"973,248",500001 to 1000000,9001 to 12000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,1 to 5000,Kiryana,No,4.5
1 to 50,1 to 50,"141,970",1 to 200000,6001 to 9000,Less than 100k,Owned,409 - 544,4 to 8,Less than 2000,0,Kiryana,No,3.8
1 to 50,1 to 50,"48,315",1 to 200000,3001 to 6000,100k - 300k,Owned,273 - 408,4 to 8,More than 5000,0,Super Store,No,3.6
1 to 50,1 to 50,"14,200",1 to 200000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,4.6
1 to 50,1 to 50,"124,906",1 to 200000,9001 to 12000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,Super Store,No,4.7
1 to 50,51 to 100,"603,607",500001 to 1000000,9001 to 12000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,5001 to 10000,Kiryana,No,4.4
1 to 50,51 to 100,"109,627",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,3.7
1 to 50,51 to 100,"146,658",1 to 200000,6001 to 9000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,General Store,No,3.6
1 to 50,1 to 50,"6,923",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,Super Store,No,3.9
1 to 50,101 to 200,"358,878",200001 to 500000,6001 to 9000,Less than 100k,Rented,Less than 136,4 to 8,More than 5000,5001 to 10000,General Store,No,3.4
101 to 200,51 to 100,"214,379",1 to 200000,6001 to 9000,100k - 300k,Owned,409 - 544,4 to 8,Less than 2000,0,General Store,No,4.5
1 to 50,1 to 50,"72,635",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,General Store,No,3.8
101 to 200,1 to 50,"52,737",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Super Store,No,4.1
1 to 50,51 to 100,"120,772",1 to 200000,6001 to 9000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,Kiryana,No,3.6
1 to 50,1 to 50,"28,968",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,General Store,No,3.2
1 to 50,1 to 50,"135,245",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,3.6
1 to 50,301 to 400,"596,470",500001 to 1000000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,General Store,No,4.2
1 to 50,1 to 50,"89,309",1 to 200000,12001 to 20000,100k - 300k,Rented,545+,4 to 8,2000 - 5000,1 to 5000,PanShop / Juice Corner / Canteen,No,4.3
1 to 50,101 to 200,"660,362",500001 to 1000000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,Super Store,No,4.7
1 to 50,51 to 100,"254,530",200001 to 500000,9001 to 12000,Less than 100k,Rented,409 - 544,4 to 8,2000 - 5000,5001 to 10000,General Store,No,3.8
51 to 100,101 to 200,"215,241",200001 to 500000,3001 to 6000,Less than 100k,Rented,Less than 136,4 to 8,2000 - 5000,10001 to 15000,General Store,No,3.1
1 to 50,101 to 200,"582,736",500001 to 1000000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,5.3
1 to 50,1 to 50,"9,234",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,2000 - 5000,0,Kiryana,No,3.8
51 to 100,101 to 200,"213,308",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Bakery,No,3.9
51 to 100,1 to 50,"11,712",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,4
1 to 50,51 to 100,"282,434",200001 to 500000,9001 to 12000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,Kiryana,No,4.1
1 to 50,101 to 200,"485,098",200001 to 500000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,4.6
51 to 100,51 to 100,"194,740",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,2000 - 5000,10001 to 15000,General Store,No,3.1
1 to 50,1 to 50,"96,667",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,3.9
1 to 50,301 to 400,"386,305",200001 to 500000,6001 to 9000,100k - 300k,Rented,272 - 408,4 to 8,More than 5000,5001 to 10000,Super Store,No,4.1
1 to 50,501 to 1000,"792,480",500001 to 1000000,6001 to 9000,Less than 100k,Rented,136 - 271,4 to 8,Less than 2000,10001 to 15000,General Store,No,3.5
1 to 50,51 to 100,"238,950",200001 to 500000,6001 to 9000,Less than 100k,Rented,409 - 544,4 to 8,Less than 2000,25000+,Bakery,No,3
1 to 50,101 to 200,"281,601",200001 to 500000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.7
51 to 100,201 to 300,"1,957,058",1000001 to 2000000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,6.1
1 to 50,51 to 100,"295,953",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,4.3
1 to 50,51 to 100,"100,635",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,3.4
1 to 50,1 to 50,"120,928",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.7
1 to 50,101 to 200,"227,200",1 to 200000,6001 to 9000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,4.3
1 to 50,101 to 200,"781,286",500001 to 1000000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,5.3
51 to 100,101 to 200,"364,887",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.6
1 to 50,1 to 50,"16,957",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
1 to 50,1 to 50,"13,281",1 to 200000,1 to 3000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,25000+,Kiryana,No,2.6
1 to 50,1 to 50,"65,108",1 to 200000,3001 to 6000,Less than 100k,Rented,136 - 271,4 to 8,More than 5000,1 to 5000,Kiryana,No,2.9
1 to 50,101 to 200,"348,500",200001 to 500000,6001 to 9000,Less than 100k,Rented,136 - 271,4 to 8,More than 5000,20000 to 25000,Super Store,No,3.2
51 to 100,51 to 100,"202,192",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Kiryana,No,4.5
1 to 50,101 to 200,"1,512,693",1000001 to 2000000,20000+,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,6
1 to 50,1 to 50,"4,660",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,4 to 8,More than 5000,10001 to 15000,General Store,No,3.1
1 to 50,1 to 50,"12,907",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.7
1 to 50,101 to 200,"355,207",200001 to 500000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Super Store,No,4.6
51 to 100,101 to 200,"288,154",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,4.2
1 to 50,101 to 200,"345,379",200001 to 500000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,2000 - 5000,0,General Store,No,3.6
1 to 50,1 to 50,"39,611",1 to 200000,1 to 3000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Super Store,No,3.5
51 to 100,1 to 50,"31,744",1 to 200000,1 to 3000, , , , , , , ,No,0.8
1 to 50,1 to 50,"242,914",200001 to 500000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Super Store,No,4.7
1 to 50,1 to 50,"76,005",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,10001 to 15000,General Store,No,3
1 to 50,101 to 200,"839,829",500001 to 1000000,9001 to 12000,Less than 100k,Rented,136 - 271,4 to 8,2000 - 5000,5001 to 10000,General Store,No,4.2
1 to 50,51 to 100,"162,891",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,2000 - 5000,0,General Store,No,3.7
51 to 100,1 to 50,"213,038",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Kiryana,No,4.4
1 to 50,201 to 300,"1,315,616",1000001 to 2000000,12001 to 20000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,5001 to 10000,General Store,No,5.3
1 to 50,1 to 50,"12,780",1 to 200000,6001 to 9000,Less than 100k,Owned,Less than 136,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.7
51 to 100,1 to 50,"53,336",1 to 200000,3001 to 6000, , , , , , , ,No,1
1 to 50,1 to 50,"60,494",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,Less than 2000,0,Super Store,No,3.9
1 to 50,1 to 50,"153,593",1 to 200000,9001 to 12000,Less than 100k,Owned,409 - 544,4 to 8,Less than 2000,0,Kiryana,No,4.1
51 to 100,201 to 300,"374,456",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.7
1 to 50,201 to 300,"204,244",1 to 200000,3001 to 6000,Less than 100k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,3.7
1 to 50,101 to 200,"819,227",500001 to 1000000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,5.3
1 to 50,201 to 300,"390,763",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,4.5
51 to 100,1 to 50,"6,488",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,Less than 2000,0,Super Store,No,4
1 to 50,101 to 200,"644,821",500001 to 1000000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,5.3
1 to 50,301 to 400,"903,133",500001 to 1000000,12001 to 20000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,10001 to 15000,General Store,No,4.9
1 to 50,1 to 50,"107,758",1 to 200000,6001 to 9000,100k - 300k,Rented,Less than 136,4 to 8,2000 - 5000,10001 to 15000,PanShop / Juice Corner / Canteen,No,3.2
1 to 50,101 to 200,"181,424",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,2000 - 5000,1 to 5000,Super Store,No,3.2
1 to 50,101 to 200,"303,091",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.1
51 to 100,101 to 200,"353,971",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Kiryana,No,4.3
1 to 50,1 to 50,"18,930",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,3.3
1 to 50,101 to 200,"532,827",200001 to 500000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4.9
1 to 50,1 to 50,"3,312",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,4 to 8,More than 5000,5001 to 10000,Kiryana,No,2.8
1 to 50,1 to 50,"13,939",1 to 200000,1 to 3000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Super Store,No,3.5
51 to 100,101 to 200,"829,717",500001 to 1000000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Super Store,No,5.5
1 to 50,301 to 400,"1,389,606",1000001 to 2000000,20000+,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,25000+,Kiryana,No,5.4
1 to 50,101 to 200,"760,671",500001 to 1000000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,5.3
51 to 100,51 to 100,"303,408",200001 to 500000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4.9
1 to 50,101 to 200,"368,684",200001 to 500000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4.6
1 to 50,1 to 50,"111,717",1 to 200000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4
1 to 50,101 to 200,"435,404",200001 to 500000,6001 to 9000,100k - 300k,Rented,Less than 136,4 to 8,Less than 2000,5001 to 10000,Super Store,No,3.6
1 to 50,1 to 50,"72,008",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,General Store,No,4.1
51 to 100,1 to 50,"6,928",1 to 200000,1 to 3000,100k - 300k,Rented,136 - 271,4 to 8,2000 - 5000,5001 to 10000,Kiryana,No,3.1
51 to 100,101 to 200,"435,953",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4.4
101 to 200,101 to 200,"122,685",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.2
1 to 50,51 to 100,"244,556",200001 to 500000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,15001 to 20000,General Store,No,3.2
1 to 50,101 to 200,"129,912",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,2000 - 5000,1 to 5000,General Store,No,3.2
1 to 50,1 to 50,"4,325",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,Kiryana,No,3.2
1 to 50,101 to 200,"300,237",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4
101 to 200,101 to 200,"765,407",500001 to 1000000,9001 to 12000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,Kiryana,No,5
1 to 50,501 to 1000,"1,332,224",1000001 to 2000000,9001 to 12000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,5.3
1 to 50,1 to 50,"13,775",1 to 200000,6001 to 9000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,PanShop / Juice Corner / Canteen,No,4.4
1 to 50,51 to 100,"277,464",200001 to 500000,6001 to 9000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,Bakery,No,3.7
1 to 50,101 to 200,"368,230",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,Less than 2000,0,Bakery,No,4.1
1 to 50,1 to 50,"25,354",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,2000 - 5000,0,Super Store,No,3.3
51 to 100,401 to 500,"700,138",500001 to 1000000,3001 to 6000,100k - 300k ,Owned,136 - 271,4 to 8,More than 5000,0,Super Store,No,4
51 to 100,51 to 100,"299,447",200001 to 500000,6001 to 9000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,4.6
1 to 50,1 to 50,"8,884",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,PanShop / Juice Corner / Canteen,No,3.2
1 to 50,1 to 50,"14,722",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,3.8
1 to 50,1 to 50,"49,358",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,4 to 8,More than 5000,5001 to 10000,Super Store,No,3.3
1 to 50,1 to 50,"66,468",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,Wholesale,No,4.1
101 to 200,201 to 300,"665,980",500001 to 1000000,9001 to 12000,100k - 300k,Owned,409 - 544,4 to 8,2000 - 5000,0,Super Store,No,5.8
1 to 50,101 to 200,"255,645",200001 to 500000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,5001 to 10000,Kiryana,No,3.5
1 to 50,1 to 50,"4,953",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,3.3
1 to 50,1 to 50,"24,651",1 to 200000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,2000 - 5000,0,General Store,No,3.9
1 to 50,51 to 100,"73,143",1 to 200000,3001 to 6000,Less than 100k,Owned,272 - 408,4 to 8,2000 - 5000,0,Kiryana,No,3.6
1 to 50,1 to 50,"200,770",200001 to 500000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Super Store,No,4.7
1 to 50,201 to 300,"634,574",500001 to 1000000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Kiryana,No,5
1 to 50,1 to 50,"40,519",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
1 to 50,1 to 50,"14,536",1 to 200000,3001 to 6000,Less than 100k,Rented,136 - 271,4 to 8,2000 - 5000,5001 to 10000,General Store,No,2.7
1 to 50,1 to 50,"97,328",1 to 200000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,General Store,No,4.4
1 to 50,51 to 100,"177,720",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,3.7
1 to 50,51 to 100,"169,314",1 to 200000,3001 to 6000,Less than 100k,Owned,272 - 408,4 to 8,Less than 2000,0,PanShop / Juice Corner / Canteen,No,3.5
1 to 50,51 to 100,"219,630",200001 to 500000,6001 to 9000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,Kiryana,No,3.8
1 to 50,51 to 100,"199,117",1 to 200000,6001 to 9000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,Kiryana,No,3.6
1 to 50,101 to 200,"594,641",500001 to 1000000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,5.3
1 to 50,1 to 50,"97,492",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,20000 to 25000,General Store,No,2.7
1 to 50,1 to 50,"59,589",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,3.7
1 to 50,1 to 50,"142,964",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4
1 to 50,1 to 50,"35,700",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,3.7
51 to 100,51 to 100,"433,206",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,4.4
1 to 50,51 to 100,"122,908",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,3.7
1 to 50,1 to 50,"177,844",1 to 200000,12001 to 20000,100k - 300k,Owned,409 - 544,4 to 8,2000 - 5000,0,Super Store,No,4.8
1 to 50,1 to 50,"100,979",1 to 200000,6001 to 9000,100k - 300k,Rented,409 - 544,4 to 8,More than 5000,25000+,Super Store,No,3.3
1 to 50,101 to 200,"224,887",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.1
1 to 50,51 to 100,"99,320",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Kiryana,No,4
1 to 50,51 to 100,"442,866",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,4.2
1 to 50,1 to 50,"47,792",1 to 200000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,Less than 2000,0,Kiryana,No,4.4
1 to 50,1 to 50,"49,605",1 to 200000,6001 to 9000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,General Store,No,4.3
1 to 50,1 to 50,"91,930",1 to 200000,9001 to 12000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,General Store,No,4.6
1 to 50,1 to 50,"25,205",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,5001 to 10000,Kiryana,No,3.2
1 to 50,101 to 200,"172,650",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,Super Store,No,3.9
1 to 50,1 to 50,"55,005",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Super Store,No,3.8
1 to 50,1 to 50,"38,878",1 to 200000,3001 to 6000,Less than 100k,Owned,136 - 271,4 to 8,Less than 2000,0,General Store,No,3.3
51 to 100,51 to 100,"650,546",500001 to 1000000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,5.4
51 to 100,1 to 50,"54,589",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,4 to 8,More than 5000,5001 to 10000,General Store,No,3.2
1 to 50,51 to 100,"413,717",200001 to 500000,9001 to 12000,100k - 300k,Rented,Less than 136,4 to 8,2000 - 5000,25000+,Kiryana,No,3.5
1 to 50,1 to 50,"13,275",1 to 200000,1 to 3000,Less than 100k,Rented,Less than 136,4 to 8,2000 - 5000,5001 to 10000,General Store,No,2.5
1 to 50,1 to 50,"3,558",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,4 to 8,More than 5000,1 to 5000,Kiryana,No,2.8
1 to 50,1 to 50,"30,220",1 to 200000,20000+,100k - 300k,Rented,409 - 544,4 to 8,2000 - 5000,5001 to 10000,Kiryana,No,4.5
1 to 50,101 to 200,"239,439",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,4 to 8,More than 5000,0,General Store,No,4
1 to 50,201 to 300,"700,394",500001 to 1000000,9001 to 12000,100k - 300k,Rented,Less than 136,4 to 8,2000 - 5000,1 to 5000,Kiryana,No,4.6
1 to 50,201 to 300,"248,969",200001 to 500000,9001 to 12000,100k - 300k,Rented,136 - 271,4 to 8,2000 - 5000,15001 to 20000,Super Store,No,4.1
1 to 50,51 to 100,"148,460",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4
1 to 50,1 to 50,"146,228",1 to 200000,12001 to 20000,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,4.5
1 to 50,101 to 200,"1,457,820",1000001 to 2000000,20000+,100k - 300k,Owned,Less than 136,4 to 8,2000 - 5000,0,Kiryana,No,6
51 to 100,51 to 100,"253,634",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,General Store,No,4.5
1 to 50,51 to 100,"184,806",1 to 200000,6001 to 9000,Less than 100k,Owned,Less than 136,4 to 8,Less than 2000,0,Kiryana,No,3.6
1 to 50,101 to 200,"207,710",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,4 to 8,More than 5000,0,Bakery,No,4.1
1 to 50,51 to 100,"126,977",1 to 200000,3001 to 6000,Less than 100k,Owned,136 - 271,4 to 8,2000 - 5000,0,General Store,No,3.4
 ,1 to 50,"3,239",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,4 to 8,More than 5000,0,General Store,No,3.7
1 to 50,1 to 50,"58,294",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,4 to 8,More than 5000,5001 to 10000,Super Store,No,3.2
