number_of_orders,no_of_products,total_sales,gmv,avg_daily_sales,aprox_exist_inventory,is_rental,shop_size,business_age(year),electricity_bill,rent_amount,shop_type,using_pos,credit_score
1 to 50,201 to 300,"583,889",500001 to 1000000,9001 to 12000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,General Store,No,5.6
51 to 100,201 to 300,"269,796",200001 to 500000,3001 to 6000,100k - 300k,Owned,545+,4 to 8,More than 5000,0,Kiryana,No,4.8
1 to 50,1 to 50,"16,600",1 to 200000,1 to 3000, , , , , , , ,No,0.7
51 to 100,1 to 50,"34,426",1 to 200000,3001 to 6000, , , , , , , ,No,1
1 to 50,101 to 200,"386,198",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,General Store,No,4.2
51 to 100,101 to 200,"543,372",500001 to 1000000,6001 to 9000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,Kiryana,No,5.1
1 to 50,51 to 100,"355,907",200001 to 500000,12001 to 20000, , , , , , , ,No,2
1 to 50,101 to 200,"448,220",200001 to 500000,6001 to 9000,100k - 300k,Rented,272 - 408,9 to 12,More than 5000,25000+,Bakery,No,3.6
1 to 50,101 to 200,"141,058",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,9 to 12,More than 5000,0,Kiryana,No,3.9
201 to 300,101 to 200,"588,907",500001 to 1000000,6001 to 9000,100k - 300k,Owned,272 - 408,9 to 12,More than 5000,0,General Store,No,5.5
101 to 200,101 to 200,"154,836",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,9 to 12,2000 - 5000,0,PanShop / Juice Corner / Canteen,No,3.9
1 to 50,101 to 200,"336,844",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,9 to 12,More than 5000,0,Bakery,No,4.1
101 to 200,101 to 200,"271,873",200001 to 500000,6001 to 9000,Less than 100k,Rented,136 - 271,9 to 12,2000 - 5000,5001 to 10000,General Store,No,3.8
51 to 100,101 to 200,"60,556",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,9 to 12,More than 5000,0,General Store,No,4.2
1 to 50,51 to 100,"61,211",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,9 to 12,2000 - 5000,10001 to 15000,General Store,No,2.7
1 to 50,501 to 1000,"1,984,413",1000001 to 2000000,6001 to 9000,100k - 300k,Owned,Less than 136,9 to 12,More than 5000,0,General Store,No,5.1
1 to 50,401 to 500,"1,472,499",1000001 to 2000000,6001 to 9000,100k - 300k,Owned,136 - 271,9 to 12,2000 - 5000,0,Kiryana,No,5.2
1 to 50,201 to 300,"763,497",500001 to 1000000,12001 to 20000,100k - 300k,Owned,272 - 408,9 to 12,More than 5000,0,General Store,No,5.8
51 to 100,101 to 200,"785,837",500001 to 1000000,6001 to 9000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,General Store,No,5.1
1 to 50,201 to 300,"590,277",500001 to 1000000,6001 to 9000,100k - 300k,Owned,Less than 136,9 to 12,2000 - 5000,0,Kiryana,No,5
1 to 50,1 to 50,"18,926",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
1 to 50,51 to 100,"353,550",200001 to 500000,9001 to 12000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,General Store,No,4.7
1 to 50,1 to 50,"48,723",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,9 to 12,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.8
51 to 100,101 to 200,"281,705",200001 to 500000,6001 to 9000,Less than 100k,Rented,272 - 408,9 to 12,Less than 2000,5001 to 10000,Bakery,No,3.7
1 to 50,401 to 500,"1,736,332",1000001 to 2000000,20000+,100k - 300k ,Owned,545+,9 to 12,2000 - 5000,0,General Store,No,5.7
51 to 100,1 to 50,"23,226",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,9 to 12,More than 5000,25000+,Kiryana,No,3
51 to 100,1 to 50,"12,648",1 to 200000,3001 to 6000,Less than 100k,Owned,136 - 271,9 to 12,2000 - 5000,0,General Store,No,3.6
1 to 50,1 to 50,"308,586",200001 to 500000,20000+,100k - 300k ,Owned,Less than 136,9 to 12,More than 5000,0,PanShop / Juice Corner / Canteen,No,4.6
101 to 200,101 to 200,"188,347",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,9 to 12,More than 5000,0,Kiryana,No,4.6
51 to 100,101 to 200,"502,847",200001 to 500000,9001 to 12000,100k - 300k,Rented,272 - 408,9 to 12,More than 5000,25000+,Bakery,No,4
1 to 50,1 to 50,"93,484",1 to 200000,12001 to 20000,100k - 300k,Owned,545+,9 to 12,More than 5000,0,Kiryana,No,5.1
1 to 50,101 to 200,"281,914",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,9 to 12,Less than 2000,0,Kiryana,No,4.1
1 to 50,301 to 400,"550,944",500001 to 1000000,3001 to 6000,100k - 300k,Owned,Less than 136,9 to 12,More than 5000,0,Kiryana,No,4.7
1 to 50,1 to 50,"20,625",1 to 200000,3001 to 6000,Less than 100k,Rented,136 - 271,9 to 12,More than 5000,10001 to 15000,General Store,No,2.8
1 to 50,401 to 500,"5,025,855",3000000+,20000+,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,General Store,No,7
51 to 100,201 to 300,"956,458",500001 to 1000000,9001 to 12000,100k - 300k ,Owned,Less than 136,9 to 12,More than 5000,0,General Store,No,4.9
1 to 50,1 to 50,"42,251",1 to 200000,6001 to 9000,100k - 300k,Owned,272 - 408,9 to 12,More than 5000,0,Super Store,No,4.3
1 to 50,101 to 200,"261,611",200001 to 500000,6001 to 9000,100k - 300k,Rented,136 - 271,9 to 12,More than 5000,25000+,Bakery,No,3.5
1 to 50,1 to 50,"367,825",200001 to 500000,12001 to 20000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,Kiryana,No,5
1 to 50,1 to 50,"215,076",1 to 200000,20000+, , , , , , , ,No,2
